iter	Passed	Remaining
843	41566	7682
844	41615	7633
845	41661	7583
846	41709	7534
847	41754	7484
848	41801	7434
849	41849	7385
850	41902	7336
851	41949	7286
852	42001	7238
853	42048	7188
854	42094	7138
855	42136	7088
856	42184	7038
857	42231	6989
858	42279	6939
859	42335	6891
860	42382	6842
861	42425	6792
862	42473	6742
863	42518	6692
864	42564	6643
865	42610	6593
866	42665	6545
867	42709	6494
868	42757	6445
869	42804	6396
870	42852	6346
871	42894	6296
872	42942	6247
873	42988	6197
874	43035	6147
875	43081	6098
876	43129	6048
877	43175	5999
878	43223	5949
879	43269	5900
880	43325	5852
881	43372	5802
882	43418	5753
883	43467	5703
884	43514	5654
885	43560	5604
886	43600	5554
887	43648	5505
888	43696	5455
889	43743	5406
890	43791	5357
891	43839	5307
892	43891	5259
893	43934	5209
894	43983	5160
895	44031	5110
896	44081	5061
897	44123	5011
898	44171	4962
899	44216	4912
900	44262	4863
901	44310	4814
902	44367	4765
903	44414	4716
904	44461	4667
905	44510	4618
906	44557	4568
907	44602	4519
908	44650	4469
909	44696	4420
910	44746	4371
911	44792	4322
912	44839	4272
913	44887	4223
914	44928	4173
915	44979	4124
916	45027	4075
917	45075	4026
918	45123	3977
919	45168	3927
920	45213	3878
921	45259	3828
922	45306	3779
923	45360	3730
924	45407	3681
925	45452	3632
926	45500	3583
927	45548	3533
928	45610	3485
929	45664	3437
930	45714	3388
931	45766	3339
932	45834	3291
933	45896	3243
934	45949	3194
935	45994	3144
936	46040	3095
937	46090	3046
938	46139	2997
939	46186	2948
940	46228	2898
941	46275	2849
942	46320	2799
943	46379	2751
944	46427	2702
945	46474	2652
946	46525	2603
947	46572	2554
948	46617	2505
949	46661	2455
950	46712	2406
951	46761	2357
952	46807	2308
953	46853	2259
954	46901	2210
955	46949	2160
956	46995	2111
957	47042	2062
958	47091	2013
959	47138	1964
960	47185	1914
961	47232	1865
962	47273	1816
963	47318	1767
964	47365	1717
965	47435	1669
966	47494	1620
967	47542	1571
968	47592	1522
969	47638	1473
970	47702	1424
971	47755	1375
972	47804	1326
973	47852	1277
974	47898	1228
975	47947	1179
976	47995	1129
977	48041	1080
978	48088	1031
979	48138	982
980	48185	933
981	48232	884
982	48279	834
983	48325	785
984	48370	736
985	48436	687
986	48491	638
987	48550	589
988	48599	540
989	48653	491
990	48717	442
991	48771	393
992	48815	344
993	48862	294
994	48912	245
995	48960	196
996	49005	147
997	49066	98
998	49125	49
999	49177	0
