iter	Logloss	F1:use_weights=true	F1:use_weights=false
451	0.3962488573	0.7814172683	0.7814172683
452	0.3962027256	0.7814118526	0.7814118526
453	0.3961580896	0.7814545964	0.7814545964
454	0.3961181283	0.7815022025	0.7815022025
455	0.3960710818	0.7815750113	0.7815750113
456	0.3960191689	0.7815897953	0.7815897953
457	0.3959663445	0.7816481602	0.7816481602
458	0.3959083118	0.7816438174	0.7816438174
459	0.3958606864	0.7816245976	0.7816245976
460	0.3958152284	0.7817094749	0.7817094749
461	0.3957609815	0.7817937044	0.7817937044
462	0.3957218807	0.7817858245	0.7817858245
463	0.3956813099	0.7818155357	0.7818155357
464	0.3956295518	0.7819072869	0.7819072869
465	0.3955771072	0.7819469785	0.7819469785
466	0.395522502	0.7820179327	0.7820179327
467	0.395480307	0.782041994	0.782041994
468	0.3954399621	0.7820665111	0.7820665111
469	0.3953864701	0.7820972437	0.7820972437
470	0.3953293875	0.7821940039	0.7821940039
471	0.3952803599	0.7821946075	0.7821946075
472	0.3952299686	0.7822261871	0.7822261871
473	0.3952092813	0.7822328518	0.7822328518
474	0.3951468883	0.782226398	0.782226398
475	0.3951009102	0.7822738042	0.7822738042
476	0.3950430025	0.7823468524	0.7823468524
477	0.3949943473	0.7823727752	0.7823727752
478	0.3949391928	0.7824046912	0.7824046912
479	0.3948843303	0.7824533743	0.7824533743
480	0.3948278617	0.7825321724	0.7825321724
481	0.3947570266	0.7826247125	0.7826247125
482	0.3947252079	0.7826289057	0.7826289057
483	0.3946756128	0.7826743443	0.7826743443
484	0.3946278039	0.7826826617	0.7826826617
485	0.3945720958	0.7827678911	0.7827678911
486	0.3945118144	0.7828135955	0.7828135955
487	0.394459251	0.7828309815	0.7828309815
488	0.3944149067	0.7829242536	0.7829242536
489	0.3943823389	0.7829154658	0.7829154658
490	0.3943333039	0.7829656258	0.7829656258
491	0.3942899761	0.7830359726	0.7830359726
492	0.3942387043	0.7830313051	0.7830313051
493	0.394200625	0.7830822988	0.7830822988
494	0.394143652	0.7831727437	0.7831727437
495	0.394105802	0.783198014	0.783198014
496	0.3940630193	0.7832172364	0.7832172364
497	0.3940147482	0.783307058	0.783307058
498	0.393948961	0.78335854	0.78335854
499	0.3939116559	0.7833441718	0.7833441718
500	0.3938497643	0.7833530871	0.7833530871
501	0.3937789452	0.7834119736	0.7834119736
502	0.3937248721	0.7834696534	0.7834696534
503	0.3936816534	0.7834705493	0.7834705493
504	0.3936329831	0.7834801304	0.7834801304
505	0.3935756824	0.7835659214	0.7835659214
506	0.39352675	0.7836406377	0.7836406377
507	0.3934875152	0.7836640074	0.7836640074
508	0.3934308022	0.7837193592	0.7837193592
509	0.3933950144	0.7837836343	0.7837836343
510	0.3933441242	0.7838542901	0.7838542901
511	0.3932738741	0.7839015187	0.7839015187
512	0.3932326568	0.7839398055	0.7839398055
513	0.3931819097	0.7839602237	0.7839602237
514	0.3931359442	0.7840309907	0.7840309907
515	0.393080458	0.7841455766	0.7841455766
516	0.3930387746	0.7841721447	0.7841721447
517	0.3929983652	0.784210439	0.784210439
518	0.3929539068	0.7842561659	0.7842561659
519	0.3928835393	0.7843056723	0.7843056723
520	0.3928182725	0.7842989509	0.7842989509
521	0.3927738771	0.7843470198	0.7843470198
522	0.3927360531	0.7843932873	0.7843932873
523	0.3926639638	0.7844228863	0.7844228863
524	0.3926091107	0.7845013642	0.7845013642
525	0.3925658967	0.7845082402	0.7845082402
526	0.3925001874	0.7845687601	0.7845687601
527	0.3924546565	0.7845767424	0.7845767424
528	0.3924133855	0.7846002613	0.7846002613
529	0.392355565	0.7847113343	0.7847113343
530	0.3923051342	0.7847200237	0.7847200237
531	0.3922692049	0.7847559016	0.7847559016
532	0.3922164385	0.7848047907	0.7848047907
533	0.3921614288	0.7848456428	0.7848456428
534	0.3921089285	0.7849195836	0.7849195836
535	0.3920743078	0.784995047	0.784995047
536	0.3920012263	0.7850958856	0.7850958856
537	0.3919460629	0.7850932579	0.7850932579
538	0.3918996891	0.7851780994	0.7851780994
539	0.3918533379	0.7851910666	0.7851910666
540	0.3918175828	0.7852245651	0.7852245651
541	0.3917568178	0.785226975	0.785226975
542	0.3917017329	0.7852616242	0.7852616242
543	0.3916441795	0.7853667353	0.7853667353
544	0.3915952043	0.7854567208	0.7854567208
545	0.3915405773	0.7855002967	0.7855002967
546	0.3914955318	0.7855709905	0.7855709905
547	0.3914581696	0.7856429764	0.7856429764
548	0.3914133925	0.7856988961	0.7856988961
549	0.3913533095	0.7857689142	0.7857689142
550	0.3913024299	0.7858256829	0.7858256829
551	0.3912567895	0.7858315444	0.7858315444
552	0.3912076109	0.7858999755	0.7858999755
553	0.3911689308	0.7859420331	0.7859420331
554	0.3911300663	0.7859365714	0.7859365714
555	0.3910910321	0.7859741002	0.7859741002
556	0.3910390494	0.7860117476	0.7860117476
557	0.3910036458	0.7860789412	0.7860789412
558	0.3909602562	0.7861446472	0.7861446472
559	0.3909338073	0.786170128	0.786170128
560	0.3908944443	0.7862263031	0.7862263031
561	0.3908488546	0.7862570963	0.7862570963
562	0.3908046846	0.786306846	0.786306846
563	0.3907536099	0.7863281719	0.7863281719
564	0.3907195349	0.7863547703	0.7863547703
565	0.3906806068	0.7863980918	0.7863980918
566	0.390630501	0.7864479319	0.7864479319
567	0.390582778	0.7864336914	0.7864336914
568	0.3905222991	0.7865141057	0.7865141057
569	0.3904751235	0.7865314276	0.7865314276
570	0.3904209854	0.7866039731	0.7866039731
571	0.3903864805	0.7866367307	0.7866367307
572	0.3903493647	0.7866773954	0.7866773954
573	0.3903058615	0.7866943401	0.7866943401
574	0.3902730543	0.786731301	0.786731301
575	0.3902234764	0.7867392942	0.7867392942
576	0.3901937008	0.7867838588	0.7867838588
577	0.390156598	0.7868228642	0.7868228642
578	0.3900976408	0.7868094421	0.7868094421
579	0.3900510108	0.7868296203	0.7868296203
580	0.3900078223	0.786795404	0.786795404
581	0.3899435054	0.7868349462	0.7868349462
582	0.3899028867	0.7868563843	0.7868563843
583	0.3898568976	0.7869999369	0.7869999369
584	0.3898173896	0.7870029381	0.7870029381
585	0.3897822256	0.787050833	0.787050833
586	0.3897393358	0.7870726842	0.7870726842
587	0.3896780627	0.787095614	0.787095614
588	0.3896157806	0.7871969794	0.7871969794
589	0.3895585885	0.7872630169	0.7872630169
590	0.389506363	0.7873254141	0.7873254141
591	0.3894612956	0.7873477792	0.7873477792
592	0.3894260897	0.7873894801	0.7873894801
593	0.3893890552	0.7874650012	0.7874650012
594	0.3893500593	0.7874850186	0.7874850186
595	0.3893086695	0.7874787704	0.7874787704
596	0.3892755873	0.7875234074	0.7875234074
597	0.3892340111	0.7875856262	0.7875856262
598	0.3891675711	0.7876291033	0.7876291033
599	0.3891147463	0.7876445928	0.7876445928
600	0.3890818572	0.7876618585	0.7876618585
601	0.3890358169	0.787703961	0.787703961
602	0.3890023382	0.7877120825	0.7877120825
603	0.3889083823	0.7878447299	0.7878447299
604	0.3888475867	0.7879142269	0.7879142269
605	0.3888000718	0.7879396351	0.7879396351
606	0.3887597086	0.7879756935	0.7879756935
607	0.3886985133	0.7880157025	0.7880157025
608	0.3886524148	0.78801685	0.78801685
609	0.3886065651	0.788041397	0.788041397
