iter	Accuracy	Logloss
457	0.6629775379	0.6013170521
458	0.6630323464	0.6012672511
459	0.6630840229	0.6012199515
460	0.6631169079	0.6011885751
461	0.6631865929	0.6011599624
462	0.6632265248	0.6011202043
463	0.6633126523	0.6010303831
464	0.6633705926	0.6010080542
465	0.6633471033	0.6009742767
466	0.6633995628	0.6009431111
467	0.6634050436	0.6009088599
468	0.6634026947	0.6008679194
469	0.6633901671	0.6008261361
470	0.6634363627	0.6007935527
471	0.663462984	0.600764923
472	0.66353032	0.6007211709
473	0.6636047029	0.6006451319
474	0.663704141	0.6005187057
475	0.6637151027	0.6004282044
476	0.6637973153	0.6003221926
477	0.6637949664	0.6002781631
478	0.6638161068	0.6002398496
479	0.6638168898	0.6002057708
480	0.6638309834	0.6001819031
481	0.6638607365	0.6001582094
482	0.6639319874	0.600091729
483	0.6640110682	0.5999952087
484	0.6640298596	0.5999517584
485	0.6640713574	0.5999183884
486	0.6640658766	0.5998972729
487	0.6641011106	0.599856753
488	0.6641715785	0.5997760147
489	0.664188804	0.5997586727
490	0.6642216891	0.5997387768
491	0.6642138593	0.5997018583
492	0.6643313059	0.5995850475
493	0.6643728037	0.5995531016
494	0.6644424887	0.5995253247
495	0.6643790676	0.5994905294
496	0.6645896885	0.5993452439
497	0.6646092629	0.5992915683
498	0.6646664203	0.5992675798
499	0.6646601565	0.5992178155
500	0.6646515437	0.5991893995
501	0.6646805139	0.5991461727
502	0.6647196628	0.5991209464
503	0.6648104881	0.5990715868
504	0.6650555601	0.5989721304
505	0.6650813983	0.5989459356
506	0.6651745727	0.5988476687
507	0.6652121556	0.5988249619
508	0.6653108107	0.5987888163
509	0.6653593553	0.598724566
510	0.6654102489	0.5987037433
511	0.665403985	0.5986569367
512	0.6654282573	0.5986361461
513	0.6654674062	0.5985679329
514	0.6655136019	0.5985153094
515	0.6655723252	0.5984986006
516	0.6655872018	0.5984502171
517	0.6657085633	0.598415779
518	0.6657218739	0.5983543509
519	0.6657813802	0.5983187245
520	0.6658134822	0.5982565166
521	0.6658377545	0.5982116082
522	0.6659317118	0.5981395803
523	0.6659309289	0.5981164728
524	0.6659536352	0.5980961236
525	0.6659552012	0.5980779872
526	0.6659700777	0.5980588379
527	0.6661415498	0.5979284457
528	0.6661579923	0.5978969921
529	0.666169737	0.5978784828
530	0.6661893114	0.5978462535
531	0.6661947923	0.597816573
532	0.6661947923	0.5977864468
533	0.666204971	0.5977604409
534	0.6662198475	0.597742577
535	0.6662535156	0.5977165099
536	0.666378792	0.5976272809
537	0.6663913196	0.5975925716
538	0.6663889707	0.5975697734
539	0.6663866217	0.5975502618
540	0.6665181619	0.5974772366
541	0.6664931067	0.5974590349
542	0.6665205109	0.5974174479
543	0.6665322555	0.597388912
544	0.6664868428	0.5973125443
545	0.6665573108	0.5972845164
546	0.6665737533	0.5972642665
547	0.6666583149	0.5972390573
548	0.6666958978	0.5972162314
549	0.6667037276	0.5971914343
550	0.6666677106	0.5971334573
551	0.666690417	0.5971165358
552	0.6667045106	0.5970822719
553	0.6668227402	0.5969856848
554	0.6668125615	0.5969466296
555	0.6668587571	0.596928433
556	0.6668430976	0.5969068762
557	0.6668806805	0.5968860619
558	0.6669151315	0.5968440105
